Pair_name	fs_name	L	pop1_size	pop2_size	divergence_time	mig_pop1	mig_pop2	theta	nu1	nu2	Ts	m12	fs_sanitycheck	-2LL_model	AIC
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	1345230.341464929	2204147.113613988	53732.15753182015	1.310800381426255	2.14773395171753	94202.77554586944	0.05280808586601219	0.08652554618289132	0.015819738222722514	49.64392705890138	311219.7992931535	-5363.871634084726	10735.743268169452
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	8913648.38183908	14336641.40792239	2045025.972355388	65.33760138495963	105.08848020283627	12207.290945671304	2.7002481261611693	4.343057683996262	4.646310666362945	48.39377592891612	311219.7992931535	-143087.71689501626	286183.4337900325
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	8723352.14742264	24812376.899906166	1849689.8546088156	30.360764117337943	86.35702302481383	11531.478716436617	2.7974728052247313	7.957027119555405	4.448797366137136	21.70585112436791	311219.7992931535	-164716.64760847	329441.29521694
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	1451841.8507375412	2342537.757410644	59481.089369317524	1.399858668033901	2.2586632168249787	94487.00280587109	0.05682176355936549	0.09168156057276829	0.017459650782670692	49.27191907978622	311219.7992931535	-5539.36982808113	11086.73965616226
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	13621073.764960863	13971935.559687778	1582540.871199411	69.54362715592298	71.33498386221395	9571.600365824725	5.262526039410046	5.3980821169150595	4.585630841453738	26.429751277285515	311219.7992931535	-180261.51764874352	360531.03529748705
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	7561056.460511705	13527711.517122285	3877207.902892015	0.9075134856758641	1.6236594312232318	27314.734618097125	1.0236534776917843	1.8314489532030647	3.936867661098335	1.7730872906761341	311219.7992931535	-49651.01118278982	99310.02236557964
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	21164310.040705588	7699440.703895521	2063514.3321139116	124.74325610936894	45.38079917453897	12748.267933998535	6.139321869011671	2.233446051473951	4.489366063093273	40.63747064281239	311219.7992931535	-145404.74394565192	290817.48789130384
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	42776400.27009503	6455222.786063805	2065527.9966566653	24.4283918936245	3.6863950912873507	22490.767167016846	7.033434313326473	1.061388643200276	2.5471559087552693	6.946362418524118	311219.7992931535	-118714.83605936391	237437.67211872782
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	13054542.37132495	14222107.552808486	1327188.2128197849	136.9661032321762	149.21600434924906	7762.2548337722765	6.219295988702054	6.7755340584255	4.742128648070064	44.045532960961566	311219.7992931535	-188153.16627872927	376314.33255745855
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	30865802.17443618	5177256.985621594	3330938.18003532	7.27264557917702	1.2198728844289954	21175.488429740693	5.390283439063661	0.9041359894571571	4.362765280451247	2.698427888400741	311219.7992931535	-89088.37065674053	178184.74131348106
