Pair_name	fs_name	L	theta	nuB	nuF	T	fs_sanitycheck	-2LL_model	AIC
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	621016.0085179668	4.577432519852378	1.1745744512988536	3.7997223847647494	3981059.8794063646	-843798.2452876596	1687602.4905753192
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	252273.42768418108	7.678477055059447	4.254706698585897	4.1591949549388785	3981059.8794063646	-1013569.0532797328	2027144.1065594656
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	352704.6188602911	8.931004162271904	2.2890413534483507	4.040038180798725	3981059.8794063646	-854837.9378384942	1709681.8756769884
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1145202.949836814	0.002100503620380401	5.9015840749143065e-05	1.2319837552883844e-05	3981059.8794063646	-731893.3685287107	1463792.7370574214
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1142854.7030752967	0.01049741466462966	3.499493605837736e-05	1.1222479231403481e-05	3981059.8794063646	-731879.4926330362	1463764.9852660724
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	740310.032106685	9.921451693008215	0.7696808895571975	0.794115322854612	3981059.8794063646	-786322.6147555781	1572651.2295111562
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	689471.946703761	9.524084211028384	0.8825349309384557	4.155041102319606	3981059.8794063646	-841710.3652963326	1683426.7305926653
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	845074.6721249872	8.415910726329036	0.6007831891150484	0.4757214845180653	3981059.8794063646	-779425.1378007607	1558856.2756015214
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1151883.9499035014	9.242589167067743	0.024633221987741618	0.01026427071037926	3981059.8794063646	-733973.816909534	1467953.633819068
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	980200.4798631697	6.773254839538392	0.5392588931231653	1.7273833832779895	3981059.8794063646	-838497.7522387162	1677001.5044774325
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	688134.1519784931	5.885748348391217	0.9526915420100972	2.106145973361768	3981059.8794063646	-823278.7835639529	1646563.5671279058
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1002834.6837392312	9.59946790762513	0.356888294362731	0.31269225363354214	3981059.8794063646	-745458.151219316	1490922.302438632
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1146583.678770931	0.00026468323039037484	0.00014023605394712153	1.0845619888941749e-05	3981059.8794063646	-731918.2615223909	1463842.5230447818
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	654913.8358431297	9.499342913946844	0.9653243825917069	1.1628576984369268	3981059.8794063646	-799831.0278040448	1599668.0556080895
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	320042.06679381966	8.946981012697444	2.623767997578626	4.422983598811639	3981059.8794063646	-867152.3465069019	1734310.6930138038
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	931228.4025466416	8.561938013618821	0.6835737655294956	4.991434409399594	3981059.8794063646	-846182.8277254704	1692371.6554509408
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	946595.2826548399	9.166463762586375	0.42853857176519417	0.3476007603911582	3981059.8794063646	-753707.3740698588	1507420.7481397176
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	190206.32327733462	6.93956445053819	7.074932989499315	4.760535756418127	3981059.8794063646	-1229810.1389985282	2459626.2779970565
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1383164.8397504035	3.6439364896841435	0.5021718389350824	3.600944414733892	3981059.8794063646	-846591.7740040913	1693189.5480081826
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1144530.4648698862	0.0004565554128120724	0.0001511891784220292	1.4136243929993742e-05	3981059.8794063646	-731895.8302214118	1463797.6604428235
