GO:0003755	9.602	19	0.0003600000	0.0821700000	19	34	37	peptidyl-prolyl cis-trans isomerase activity	108009741,108008416,108008370,108008395,108011147,108019096,108006742,108018045,108011489,108006933,108017794,108008876,108006325,108004680,108004685,108009536,108014832,108019809,108015425
GO:0005549	32.315	48	0.0004800000	0.0821700000	48	105	107	odorant binding	108019998,108019118,108007058,108007054,108007052,108010668,108019004,108009828,108018785,108008501,108018769,108011252,108009903,108018861,108016241,139352901,108012661,108006829,108015021,108018993,108012753,108015856,108014514,108005604,108019558,108016493,108012958,108012861,108015946,108010234,108010297,108013308,136116617,108017714,108008937,108008940,108016559,108008989,108018333,108008995,108008085,108014793,108019703,108012293,108008173,108013511,108008191,108016701
GO:0000413	5.674	12	0.0019000000	0.2530466667	12	21	23	protein peptidyl-prolyl isomerization	108009741,108008416,108008395,108011147,108011489,108006933,108017794,108006325,108009536,108014832,108019809,108015425
GO:1990269	1.840	5	0.0035500000	0.3631500000	5	5	5	RNA polymerase II C-terminal domain phosphoserine binding	108019022,108016228,108010041,108010224,108005021
GO:0005753	1.409	5	0.0039800000	0.3631500000	5	9	9	obsolete mitochondrial proton-transporting ATP synthase complex	108019003,108008639,108020422,108014633,108012023
GO:0006457	18.611	28	0.0052100000	0.3957833333	28	63	73	protein folding	108014252,108006675,108008416,108008395,108021522,108016172,108012527,108011282,108009990,118877785,108021634,108010015,108010068,108018962,108018045,108017777,108017794,108008847,108006325,108016596,108009479,118877386,108014830,108014832,108017924,108007844,108018520,108015425
GO:0046513	5.057	9	0.0066700000	0.4055241667	9	10	11	ceramide biosynthetic process	108021398,108010045,108019389,108005756,108016509,108017224,108017225,108021235,108004755
GO:0007608	28.215	39	0.0072900000	0.4055241667	39	87	89	sensory perception of smell	108019998,108019118,108007058,108007054,108007052,108010668,108009828,108018785,108008501,108018769,108011252,108009903,108018861,108016241,139352901,108012661,108018993,108012753,108015856,108014514,108005604,108019558,108016493,108012958,108012861,108015946,108013308,108017714,108008937,108016559,108018333,108008995,108014793,108019703,108012293,108008173,108013511,108008191,108016701
GO:0006777	2.024	5	0.0082800000	0.4055241667	5	5	5	Mo-molybdopterin cofactor biosynthetic process	108016804,108017667,108017666,108007733,108015418
GO:0005858	3.760	7	0.0086000000	0.4055241667	7	8	10	axonemal dynein complex	108012606,108014444,108016394,136116540,108018931,108008120,108013502
GO:0035970	2.364	5	0.0091700000	0.4055241667	5	6	6	peptidyl-threonine dephosphorylation	108016889,108019460,108008799,108016779,108021254
GO:0004984	23.591	33	0.0094200000	0.4055241667	33	66	68	olfactory receptor activity	108019998,108021350,108007058,108007054,108007052,108009828,108018769,108011252,108009903,108018861,108016241,139352901,108012661,108018993,108012753,108015856,108014514,108005604,108019558,108012958,108012861,108015946,108013308,108017714,108008937,108016559,108018333,108008995,108014793,108019703,108012293,108008191,108016701
GO:0016281	4.598	8	0.0111100000	0.4505561538	8	10	10	eukaryotic translation initiation factor 4F complex	108020151,108012712,108012673,108015766,108020374,108017728,108014928,108012363
GO:0050911	23.161	32	0.0130800000	0.4730742105	32	65	67	detection of chemical stimulus involved in sensory perception of smell	108019998,108007058,108007054,108007052,108009828,108018769,108011252,108009903,108018861,108016241,139352901,108012661,108018993,108012753,108015856,108014514,108005604,108019558,108012958,108012861,108015946,108013308,108017714,108008937,108016559,108018333,108008995,108014793,108019703,108012293,108008191,108016701
GO:0015937	2.305	5	0.0142500000	0.4730742105	5	6	6	coenzyme A biosynthetic process	108013831,108010087,108011458,108005615,108005820
GO:0000340	3.944	7	0.0148100000	0.4730742105	7	9	9	RNA 7-methylguanosine cap binding	108020151,108014479,108012712,108012673,108015766,108014928,108012363
GO:0034715	0.647	3	0.0152900000	0.4730742105	3	6	6	pICln-Sm protein complex	108016026,108007280,108008332
GO:0006816	1.632	4	0.0155300000	0.4730742105	4	4	5	calcium ion transport	108009826,108013190,108021720,108006292
GO:0034220	8.578	11	0.0163100000	0.4730742105	11	11	11	monoatomic ion transmembrane transport	139353246,108005432,108021510,108020196,108018853,108017582,108018807,108015077,108018039,108015189,108006426
GO:0060285	2.930	6	0.0186000000	0.4808870968	6	7	7	cilium-dependent cell motility	108019225,108012606,108018804,136116540,108018931,108008120
GO:0015631	5.156	9	0.0190800000	0.4808870968	9	13	14	tubulin binding	108011140,108007166,108020143,108011309,108021570,108020404,108009180,108008847,108017142
GO:0006820	16.017	21	0.0213400000	0.4808870968	21	27	28	monoatomic anion transport	108009717,108008440,108005497,108009898,108021473,108005596,118877710,108015745,108008748,108008786,108018120,108013214,118877099,108018215,108018182,108018167,108008121,108008123,108008122,108021168,108019815
GO:0005685	3.246	7	0.0213600000	0.4808870968	7	16	16	U1 snRNP	108016026,108004808,108021388,108020118,108007280,108020891,108008332
GO:0080008	4.343	8	0.0217700000	0.4808870968	8	13	14	Cul4-RING E3 ubiquitin ligase complex	108010817,108007252,108007296,108010009,108009176,108020541,108019708,108005187
GO:0004869	1.695	4	0.0221000000	0.4808870968	4	6	6	cysteine-type endopeptidase inhibitor activity	108020171,118877890,118877889,108006946
GO:0033179	2.577	6	0.0221500000	0.4808870968	6	14	14	proton-transporting V-type ATPase, V0 domain	139353066,108015727,108018081,108007652,108017064,108011016
GO:0051256	1.614	4	0.0226000000	0.4808870968	4	5	5	mitotic spindle midzone assembly	108020070,108011277,108021819,108019620
GO:0009331	2.447	5	0.0245100000	0.4808870968	5	6	16	glycerol-3-phosphate dehydrogenase (FAD) complex	108018121,108018090,108020514,108018241,108008262
GO:0030117	3.076	6	0.0248200000	0.4808870968	6	8	8	membrane coat	108008426,108013724,108016877,108016908,108014429,108020874
GO:0097602	3.758	7	0.0250000000	0.4808870968	7	14	14	cullin family protein binding	108009889,108016939,108008618,108012807,108009227,108005853,108005199
GO:0003352	1.450	4	0.0257000000	0.4808870968	4	5	5	regulation of cilium movement	108012606,136116540,108018931,108008120
GO:0015114	3.447	6	0.0273400000	0.4914046000	6	6	6	obsolete phosphate ion transmembrane transporter activity	108008440,108009898,108016179,108019160,108011433,108016799
GO:0004467	9.678	14	0.0290900000	0.4914046000	14	20	20	long-chain fatty acid-CoA ligase activity	108020947,108008448,108008503,108021448,139353152,108019245,108008708,108011538,108010263,108010264,108010288,108020729,108005116,108014181
GO:0006413	10.403	15	0.0314000000	0.4914046000	15	29	29	translational initiation	108018629,108007069,108005426,108020151,108012712,108012673,108015766,108006120,108018904,108013229,108014783,108014756,108005221,108014928,108012363
GO:0018095	4.063	7	0.0325400000	0.4914046000	7	8	8	protein polyglutamylation	108011140,108007166,108020143,108021570,108020404,108009180,108014660
