Pair_name	fs_name	L	pop1_size	pop2_size	divergence_time	mig_pop1	mig_pop2	Mij	Mji	theta	nu1	nu2	Ts	m12	m21	fs_sanitycheck	-2LL_model	AIC
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	17575768.766449403	38366293.3129728	4325079.727168098	3.365349555341265	110.25556929206203	1.9147666312983256e-07	2.8737613089868473e-06	374330.6462722394	2.3135511530957378	5.050270250691799	4.269923903189622	2.9092501809074998	43.663235359319216	3959392.543375151	-798653.6232657178	1597317.2465314355
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	3297603.193176884	15852224.583660988	3528590.31795619	2.212110692172524	0.18032946457592053	6.708237961285435e-07	1.1375656686178135e-08	1822484.7421181777	0.0891568372721496	0.4285943834999254	0.7155149936607246	49.62290632674861	0.8414924297576657	3959392.543375151	-187351.53509674504	374713.0701934901
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	2179382.403783042	108992645.19918536	194923.07470843065	1.573340007050595	50.93392838858952	7.219201202687242e-07	4.673152788934259e-07	1004226.7614909486	0.10693547665323792	5.347928131309445	0.07173198755620805	29.425968935501174	19.04809755778012	3959392.543375151	-433623.7806417637	867257.5612835274
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	18299903.374568097	12597307.072433833	1226370.5847096122	169.62871861559756	121.68090180344926	9.269377829138458e-06	9.659278852519087e-06	104942.33672252962	8.592473995666417	5.914896446160444	4.318693635536103	39.4830915289704	41.14388236921253	3959392.543375151	-828465.6957662699	1656941.3915325399
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	27649229.79334547	2524313.7648616834	3927091.6257160734	49.370685137977425	10.18324492096933	1.7856079719754005e-06	4.0340646486659345e-06	293009.38410392887	4.649665049599583	0.4245041751407262	4.953029406829695	21.23623298079465	47.977124925065866	3959392.543375151	-598273.5208646593	1196557.0417293187
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	17003714.827760115	8880400.662522554	4748153.0775156785	0.26024426061830597	3.0728187869250827	1.5305141450233774e-08	3.4602253926369827e-07	357032.4459145165	2.3466930532423196	1.2255895112241981	4.914716018741641	0.2217965918113903	5.01443388472826	3959392.543375151	-373106.82900819276	746223.6580163855
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	15652296.882449204	14938847.74099496	1236243.282381948	140.42790315275056	131.51815169423443	8.97171221625698e-06	8.803768133557203e-06	109056.48394011203	7.072073167693414	6.749720188594863	4.189226623380296	39.71336263721143	38.969956685452914	3959392.543375151	-908760.7564688282	1817531.5129376564
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	5009673.131266469	15026421.1030898	14578806.89668941	2.4519901366732753	1.3426830336544113	4.894511223436649e-07	8.935481206355403e-08	1267561.256081653	0.19474243414655643	0.5841262983533445	4.250445277066234	25.18187828368205	4.597235349407971	3959392.543375151	-193130.63080396765	386271.2616079353
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	7138557.810877743	27379659.72855096	2608441.5912018614	16.47920252688901	66.23901972226288	2.308477841529557e-06	2.419278412477499e-06	194878.36364648634	1.8049576514929162	6.922844590123734	4.946510028186215	18.259932595381102	19.13635900963623	3959392.543375151	-720509.6570412532	1441029.3140825063
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	10968528.765589591	15678156.916987589	2036334.614849275	46.057184164235046	33.22001449865539	4.199030257250671e-06	2.118872433446616e-06	157589.0078009672	3.4295932640143483	4.9021799097930625	4.775343584195566	26.858685924945508	13.553160067541345	3959392.543375151	-855053.0891840477	1710116.1783680953
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	3944409.4970531263	15720628.65130386	17048119.749832742	2.391157184594098	3.202515550466463	6.062142346986373e-07	2.0371421661950193e-07	1898237.86779036	0.10238858074156959	0.40807448039429	3.3190000293931545	46.70749740402041	15.695740382354348	3959392.543375151	-207219.6956014685	414449.391202937
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	82400154.23742254	7620878.553695307	4040580.7834327267	184.5614394764845	9.58864396674787	2.2398191020941657e-06	1.2582071606558286e-06	442035.6530546407	9.185247971103895	0.8495088379527356	3.378064179390032	40.18649034998316	22.57455964756274	3959392.543375151	-752320.4148536593	1504650.8297073187
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	14384180.863501208	19324729.30576776	2096247.3793380922	24.84946379028236	102.16535559299666	1.7275550151997903e-06	5.286767745952532e-06	162559.40703207618	4.3600672593911565	5.857623756419177	4.765536805317371	11.398660759995874	34.88286712885476	3959392.543375151	-892519.959387091	1785049.918774182
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	72423506.86779241	5851650.9173112605	2032829.8674353168	180.25200828750798	13.54214080581655	2.4888605382856456e-06	2.3142427662173234e-06	474485.8515614421	7.521014802324239	0.6076805041693462	1.5832852571317428	47.93289550016687	44.56993671148836	3959392.543375151	-769505.7074484484	1539021.4148968968
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	1428913.8906780584	24025793.74720044	3441836.3443758036	3.4136053191909914	4.872890999775497	2.3889510357906475e-06	2.0281914724849836e-07	260079.81592632303	0.2707195186140312	4.551884728670151	4.890631817220272	25.21876026277824	2.1410432338426677	3959392.543375151	-303495.58433223225	607001.1686644645
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	3540820.187306083	16096600.88287541	9533753.934341228	1.700064435410635	1.3395716931845174	4.801329481529175e-07	8.322078076804645e-08	1579366.0886424754	0.11046920381906283	0.5021940086365525	2.230809737917335	30.77897507426894	5.334877239262292	3959392.543375151	-213829.6628675824	427669.3257351648
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	21708719.206991136	15249714.496447938	2153997.3335134313	88.74962873872506	21.21366493218722	4.088201975091367e-06	1.3910860388322972e-06	187702.20074446683	5.698820747964167	4.003248120916327	4.240891861634037	31.146664428927604	10.598226385893614	3959392.543375151	-901401.4111034044	1802812.8222068087
