GO:0000150	DNA strand exchange activity	108011710 108019454 108019454
GO:0000151	ubiquitin ligase complex	108004652 108005401 108005853 108006659 108008336 108009651 108010042 108011364 108011970 108011970 108012581 108013175 108016919 108017781 108020424 108020955 108020955
GO:0000159	protein phosphatase type 2A complex	108004685 108006742 108013927 108013927 108015569 108018618 108018618 108019096 108019524 108019524 108021314 136117270 136117270
GO:0000164	protein phosphatase type 1 complex	108007266 108013383 108020446
GO:0000165	MAPK cascade	108007951 108014895 108015584
GO:0000166	nucleotide binding	108004667 108005127 108008429 108008702 108009064 108010184 108013460 108013777 108014873 108015722 108015829 108017441 108019536 108020079 108020389 108021575
GO:0000172	ribonuclease MRP complex	108013713 108013713 108015308 108018058 118877373 118877373
GO:0000175	3'-5'-RNA exonuclease activity	108006022 108009454 108009560 108010834 108011891 108011891 108013046 108014093 108014710 108015722 108017596
GO:0000176	nuclear exosome (RNase complex)	108005465 108005804 108008678 108009204 108009410 108015270 108015722 108015722 108017596 108020564 108020926
GO:0000177	cytoplasmic exosome (RNase complex)	108005465 108005804 108008678 108009204 108015270 108017596 108020564 108020926
GO:0000178	exosome (RNase complex)	108019074
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	108007213 108007213 108010704 108010704 108013887
GO:0000183	rDNA heterochromatin formation	108017831
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	108006607 108010094 108012846 108014039 108014039 108015371 108016064 108016773 108016773 108016920 108016934 108019070 108020535 108020857 108020885 108020885
GO:0000209	protein polyubiquitination	108004803 108005095 108005243 108005673 108005934 108005938 108006291 108006664 108006918 108008416 108009578 108009651 108009811 108010042 108010587 108010850 108010986 108011600 108011892 108011892 108011970 108012581 108012973 108013175 108013407 108013421 108013567 108015171 108015612 108016919 108016952 108017223 108018037 108018041 108018110 108018834 108019001 108019011 108019058 108019062 108019253 108020169 108020955 108021041 108021201 108021338 108021390 139353131
GO:0000212	meiotic spindle organization	108008281 108017674
GO:0000213	tRNA-intron lyase activity	108013135 108013135 108014653 108014653
GO:0000214	tRNA-intron endonuclease complex	108013135 108014653 136116446
GO:0000215	tRNA 2'-phosphotransferase activity	108012356
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	108007205 108017510 108017517 108018092 108021626
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	108009094 108014616 108014616
GO:0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	118878886
GO:0000225	N-acetylglucosaminylphosphatidylinositol deacetylase activity	108005027
GO:0000226	microtubule cytoskeleton organization	108004679 108004715 108005044 108006055 108007166 108008963 108009180 108009283 108009747 108010141 108010600 108011139 108011140 108012278 108012396 108013005 108013604 108013766 108013957 108014809 108014833 108015212 108015852 108016595 108016595 108017005 108017134 108018514 108019526 108020014 108020014 108020101 108020143 108020404 108020916 108020959 108021207 108021570 108021819
GO:0000228	nuclear chromosome	108008966 108010816 108016262
GO:0000242	pericentriolar material	108019729 108021504
GO:0000243	commitment complex	108006272 108007280 108007625 108008092 108008762
GO:0000244	spliceosomal tri-snRNP complex assembly	108009102 108014257 108018595 108020734
GO:0000245	spliceosomal complex assembly	108007449 108011225 108016599 108017993 108018970 108019939 108020714 108020837
GO:0000254	C-4 methylsterol oxidase activity	108004707 108013695
GO:0000256	allantoin catabolic process	108010414
GO:0000266	mitochondrial fission	108009782 108014473 108016901 108019191 108021175 139354589 139354589
GO:0000274	obsolete mitochondrial proton-transporting ATP synthase, stator stalk	108004921 108008611 108014146
GO:0000275	obsolete mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)	108013920 108013920 108015214 108019202 108019202 118878112
GO:0000276	obsolete mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	108008611 108008611 108010861 108012023 108012023 108012252 108012252 108014146 108014146 108014475 108014475 108017498 108017498 108020894 108020894 108021424 108021424
GO:0000278	mitotic cell cycle	108005361 108005770 108008281 108008714 108009112 108009344 108009423 108009747 108010141 108010600 108010798 108012396 108013498 108013721 108013957 108014309 108014663 108014809 108014833 108015345 108015801 108015829 108015852 108016748 108016922 108017005 108017134 108017306 108017674 108017792 108017994 108018275 108019019 108019142 108019179 108020477 108021162 108021282 108021504 139353921 139354026 139354878
GO:0000281	mitotic cytokinesis	108006001 108006430 108006869 108007764 108009286 108009452 108009982 108011141 108011277 108011737 108013327 108013868 108014811 108014811 108017788 108018007 108018071 108019225 108019620 118877550
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity	108009433 108009433
GO:0000287	magnesium ion binding	108005082 108005446 108005952 108006288 108006343 108006815 108006815 108007499 108008141 108008412 108008656 108008908 108008930 108008930 108009128 108009128 108009627 108009627 108010040 108010150 108010575 108010631 108011371 108011745 108012964 108012985 108013068 108013093 108013093 108013233 108013599 108015119 108015263 108015263 108015332 108015611 108015611 108017257 108017257 108017536 108017623 108017623 108018072 108019280 108019460 108019755 108019816 108020477 108020495 108020495 108020525 108020525 108020606 108020707 108020933 118878055
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	108009071 108014093 108018834
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	108007172 108007172 108010309 108013055 108016244 108018100 108018100 108020623 139354519
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	108004871 108004871 108006457 108008399 108010223 108010223 108020535 108020535
GO:0000291	obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic	108004907
GO:0000298	endopolyphosphatase activity	108014615
GO:0000301	retrograde transport, vesicle recycling within Golgi	108020661
GO:0000302	response to reactive oxygen species	108005212 108008463 108008577 108012538
GO:0000307	cyclin-dependent protein kinase holoenzyme complex	108007976 108010245 108010546 108010810 108011795 108017321 108017962 108018918 108020468 108021717 139353993
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	108014579 108014579
GO:0000323	lytic vacuole	108021267
GO:0000338	protein deneddylation	108004943 108008464 108010562 108012183 108021157
GO:0000339	RNA cap binding	108008399 108014795 108016064 108016920 108018590
GO:0000340	RNA 7-methylguanosine cap binding	108004871 108006846 108012363 108012673 108012712 108014479 108014928 108015766 108020151
GO:0000346	transcription export complex	108013592
GO:0000347	THO complex	108013592
GO:0000349	generation of catalytic spliceosome for first transesterification step	108019600
GO:0000350	generation of catalytic spliceosome for second transesterification step	108014140
GO:0000379	tRNA-type intron splice site recognition and cleavage	108013135 108013135 108014653 136116446
GO:0000380	alternative mRNA splicing, via spliceosome	108012815 108016832 139354198
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	108005164 108007182 108008320 108009667 108010017 108010024 108010096 108012261 108012270 108012815 108012815 108013674 108014052 108014119 108015290 108015848 108017580 108019783 108019872 108019872 118878586
GO:0000387	spliceosomal snRNP assembly	108007280 108007280 108008092 108008092 108008332 108008488 108008488 108008778 108009863 108010159 108011127 108013494 108016026 108018938 108020118 108020118 108020714 108020714 108020890
GO:0000390	spliceosomal complex disassembly	108006202 108009413 108017126 108021706
